game_id,names,min_players,max_players,min_time,max_time,year,avg_rating,geek_rating,num_votes,age,mechanic,owned,category,designer,weight
221230,Farlight,2,5,45,45,2017,7.00436,5.7483,241,14,"Auction/Bidding, Card Drafting, Tile Placement",611,"Science Fiction, Space Exploration",Nick Sibicky,2.5
173460,Dark Dealings,1,6,15,20,2016,6.681089999999999,5.74825,303,12,"Auction/Bidding, Card Drafting, Player Elimination",915,"Card Game, Fantasy, Fighting",Michael D. Kelley,0.0
1203,Witch Trial,3,7,45,45,2001,6.24187,5.74824,636,10,none,1203,"Card Game, Negotiation",James Ernest,1.7164
2872,Terrace,2,4,20,20,1992,6.38281,5.7468699999999995,478,8,Grid Movement,1020,Abstract Strategy,"Anton Dresden, Buzz Siler",2.52
2063,The Great Khan Game,2,6,90,90,1989,6.6420699999999995,5.74685,360,10,Campaign / Battle Card Driven,646,"Bluffing, Card Game, Fantasy, Medieval","Richard Hamblen, Tom Wham",2.1463
153639,Zeppelin Attack!,2,4,45,45,2014,6.8628100000000005,5.74675,265,12,"Card Drafting, Deck / Pool Building, Hand Management",738,"Aviation / Flight, Card Game, Fighting",Eric B. Vogel,2.3182
1674,Naval War,3,9,45,45,1979,6.21063,5.74642,718,12,"Hand Management, Take That",1136,"Card Game, Nautical, Wargame, World War II","S. Craig Taylor, Neil Zimmerer",1.3368
884,Way Out West,3,5,90,120,2000,6.15742,5.74627,649,12,"Tile Placement, Worker Placement",1097,American West,Martin Wallace,2.6154
3586,Sherlock,2,5,20,20,1999,6.27733,5.746230000000001,523,5,Memory,955,"Card Game, Children's Game, Deduction, Memory, Novel-based",Reinhard Staupe,1.0938
1536,Lord of the Fries,3,8,45,45,1998,5.96742,5.74622,1545,12,"Auction/Bidding, Dice Rolling, Hand Management, Set Collection",3162,"Card Game, Zombies",James Ernest,1.2945
147370,Robot Turtles,2,5,15,15,2013,6.09207,5.7461199999999995,815,4,"Action / Movement Programming, Area Movement",2636,"Children's Game, Maze",Dan Shapiro,1.3636
1693,Gladiator,2,6,90,90,1981,6.49754,5.74606,418,12,Action / Movement Programming,1036,"Ancient, Fighting",Michael S. Matheny,2.9362
